| TRAIN SET | Epoch [01/30], Step [0000/3466], Loss: 6.8971
| TRAIN SET | Epoch [01/30], Step [0100/3466], Loss: 4.8245
| TRAIN SET | Epoch [01/30], Step [0200/3466], Loss: 4.6120
| TRAIN SET | Epoch [01/30], Step [0300/3466], Loss: 4.2124
| TRAIN SET | Epoch [01/30], Step [0400/3466], Loss: 3.8779
| TRAIN SET | Epoch [01/30], Step [0500/3466], Loss: 3.0885
| TRAIN SET | Epoch [01/30], Step [0600/3466], Loss: 3.5299
| TRAIN SET | Epoch [01/30], Step [0700/3466], Loss: 3.4189
| TRAIN SET | Epoch [01/30], Step [0800/3466], Loss: 2.9041
| TRAIN SET | Epoch [01/30], Step [0900/3466], Loss: 3.0135
| TRAIN SET | Epoch [01/30], Step [1000/3466], Loss: 2.7724
| TRAIN SET | Epoch [01/30], Step [1100/3466], Loss: 3.1200
| TRAIN SET | Epoch [01/30], Step [1200/3466], Loss: 2.9422
| TRAIN SET | Epoch [01/30], Step [1300/3466], Loss: 3.0863
| TRAIN SET | Epoch [01/30], Step [1400/3466], Loss: 3.0525
| TRAIN SET | Epoch [01/30], Step [1500/3466], Loss: 3.2800
| TRAIN SET | Epoch [01/30], Step [1600/3466], Loss: 2.8094
| TRAIN SET | Epoch [01/30], Step [1700/3466], Loss: 2.9983
| TRAIN SET | Epoch [01/30], Step [1800/3466], Loss: 2.5235
| TRAIN SET | Epoch [01/30], Step [1900/3466], Loss: 2.7767
| TRAIN SET | Epoch [01/30], Step [2000/3466], Loss: 2.7167
| TRAIN SET | Epoch [01/30], Step [2100/3466], Loss: 2.7251
| TRAIN SET | Epoch [01/30], Step [2200/3466], Loss: 2.5029
| TRAIN SET | Epoch [01/30], Step [2300/3466], Loss: 2.7384
| TRAIN SET | Epoch [01/30], Step [2400/3466], Loss: 2.2088
| TRAIN SET | Epoch [01/30], Step [2500/3466], Loss: 2.5955
| TRAIN SET | Epoch [01/30], Step [2600/3466], Loss: 2.4289
| TRAIN SET | Epoch [01/30], Step [2700/3466], Loss: 2.5620
| TRAIN SET | Epoch [01/30], Step [2800/3466], Loss: 2.3895
| TRAIN SET | Epoch [01/30], Step [2900/3466], Loss: 2.5864
| TRAIN SET | Epoch [01/30], Step [3000/3466], Loss: 2.3261
| TRAIN SET | Epoch [01/30], Step [3100/3466], Loss: 2.3548
| TRAIN SET | Epoch [01/30], Step [3200/3466], Loss: 2.6331
| TRAIN SET | Epoch [01/30], Step [3300/3466], Loss: 2.3332
| TRAIN SET | Epoch [01/30], Step [3400/3466], Loss: 2.2521
| TRAIN SET | Epoch [01/30], Loss: 2.9749, Acc(Exp1): 0.4152, Acc(Exp2): 0.3837 

| VALID SET | Epoch [01/30], Step [0000/1674], Loss: 2.4790
| VALID SET | Epoch [01/30], Step [0100/1674], Loss: 2.4458
| VALID SET | Epoch [01/30], Step [0200/1674], Loss: 2.3749
| VALID SET | Epoch [01/30], Step [0300/1674], Loss: 2.6025
| VALID SET | Epoch [01/30], Step [0400/1674], Loss: 2.3970
| VALID SET | Epoch [01/30], Step [0500/1674], Loss: 2.5217
| VALID SET | Epoch [01/30], Step [0600/1674], Loss: 2.4509
| VALID SET | Epoch [01/30], Step [0700/1674], Loss: 2.3981
| VALID SET | Epoch [01/30], Step [0800/1674], Loss: 1.9303
| VALID SET | Epoch [01/30], Step [0900/1674], Loss: 2.4740
| VALID SET | Epoch [01/30], Step [1000/1674], Loss: 2.1568
| VALID SET | Epoch [01/30], Step [1100/1674], Loss: 2.4599
| VALID SET | Epoch [01/30], Step [1200/1674], Loss: 1.9841
| VALID SET | Epoch [01/30], Step [1300/1674], Loss: 2.2498
| VALID SET | Epoch [01/30], Step [1400/1674], Loss: 2.3393
| VALID SET | Epoch [01/30], Step [1500/1674], Loss: 2.3270
| VALID SET | Epoch [01/30], Step [1600/1674], Loss: 2.3355
| VALID SET | Epoch [01/30], Loss: 2.3490, Acc(Exp1): 0.4992, Acc(Exp2): 0.4638 

| TRAIN SET | Epoch [02/30], Step [0000/3466], Loss: 2.5461
| TRAIN SET | Epoch [02/30], Step [0100/3466], Loss: 2.3311
| TRAIN SET | Epoch [02/30], Step [0200/3466], Loss: 2.3672
| TRAIN SET | Epoch [02/30], Step [0300/3466], Loss: 2.0598
| TRAIN SET | Epoch [02/30], Step [0400/3466], Loss: 2.2794
| TRAIN SET | Epoch [02/30], Step [0500/3466], Loss: 2.4085
| TRAIN SET | Epoch [02/30], Step [0600/3466], Loss: 2.5140
| TRAIN SET | Epoch [02/30], Step [0700/3466], Loss: 2.4679
| TRAIN SET | Epoch [02/30], Step [0800/3466], Loss: 2.1887
| TRAIN SET | Epoch [02/30], Step [0900/3466], Loss: 2.4387
| TRAIN SET | Epoch [02/30], Step [1000/3466], Loss: 2.4909
| TRAIN SET | Epoch [02/30], Step [1100/3466], Loss: 2.2263
| TRAIN SET | Epoch [02/30], Step [1200/3466], Loss: 2.3627
| TRAIN SET | Epoch [02/30], Step [1300/3466], Loss: 2.2635
| TRAIN SET | Epoch [02/30], Step [1400/3466], Loss: 2.2089
| TRAIN SET | Epoch [02/30], Step [1500/3466], Loss: 2.4046
| TRAIN SET | Epoch [02/30], Step [1600/3466], Loss: 2.4490
| TRAIN SET | Epoch [02/30], Step [1700/3466], Loss: 2.5010
| TRAIN SET | Epoch [02/30], Step [1800/3466], Loss: 2.1520
| TRAIN SET | Epoch [02/30], Step [1900/3466], Loss: 2.0648
| TRAIN SET | Epoch [02/30], Step [2000/3466], Loss: 2.5377
| TRAIN SET | Epoch [02/30], Step [2100/3466], Loss: 2.4514
| TRAIN SET | Epoch [02/30], Step [2200/3466], Loss: 2.3244
| TRAIN SET | Epoch [02/30], Step [2300/3466], Loss: 2.1914
| TRAIN SET | Epoch [02/30], Step [2400/3466], Loss: 2.1542
| TRAIN SET | Epoch [02/30], Step [2500/3466], Loss: 2.4643
| TRAIN SET | Epoch [02/30], Step [2600/3466], Loss: 2.2442
| TRAIN SET | Epoch [02/30], Step [2700/3466], Loss: 2.1903
| TRAIN SET | Epoch [02/30], Step [2800/3466], Loss: 2.0323
| TRAIN SET | Epoch [02/30], Step [2900/3466], Loss: 2.2067
| TRAIN SET | Epoch [02/30], Step [3000/3466], Loss: 2.0682
| TRAIN SET | Epoch [02/30], Step [3100/3466], Loss: 2.2287
| TRAIN SET | Epoch [02/30], Step [3200/3466], Loss: 2.0432
| TRAIN SET | Epoch [02/30], Step [3300/3466], Loss: 2.2412
| TRAIN SET | Epoch [02/30], Step [3400/3466], Loss: 2.1649
| TRAIN SET | Epoch [02/30], Loss: 2.3237, Acc(Exp1): 0.4962, Acc(Exp2): 0.4613 

| VALID SET | Epoch [02/30], Step [0000/1674], Loss: 2.1542
| VALID SET | Epoch [02/30], Step [0100/1674], Loss: 1.7679
| VALID SET | Epoch [02/30], Step [0200/1674], Loss: 2.3770
| VALID SET | Epoch [02/30], Step [0300/1674], Loss: 1.9737
| VALID SET | Epoch [02/30], Step [0400/1674], Loss: 1.7612
| VALID SET | Epoch [02/30], Step [0500/1674], Loss: 2.0707
| VALID SET | Epoch [02/30], Step [0600/1674], Loss: 2.0353
| VALID SET | Epoch [02/30], Step [0700/1674], Loss: 1.7757
| VALID SET | Epoch [02/30], Step [0800/1674], Loss: 1.7611
| VALID SET | Epoch [02/30], Step [0900/1674], Loss: 2.4043
| VALID SET | Epoch [02/30], Step [1000/1674], Loss: 2.3671
| VALID SET | Epoch [02/30], Step [1100/1674], Loss: 1.8265
| VALID SET | Epoch [02/30], Step [1200/1674], Loss: 2.1236
| VALID SET | Epoch [02/30], Step [1300/1674], Loss: 2.3590
| VALID SET | Epoch [02/30], Step [1400/1674], Loss: 2.1916
| VALID SET | Epoch [02/30], Step [1500/1674], Loss: 2.3270
| VALID SET | Epoch [02/30], Step [1600/1674], Loss: 2.3257
| VALID SET | Epoch [02/30], Loss: 2.1662, Acc(Exp1): 0.5214, Acc(Exp2): 0.4847 

| TRAIN SET | Epoch [03/30], Step [0000/3466], Loss: 2.2866
| TRAIN SET | Epoch [03/30], Step [0100/3466], Loss: 2.1501
| TRAIN SET | Epoch [03/30], Step [0200/3466], Loss: 2.2186
| TRAIN SET | Epoch [03/30], Step [0300/3466], Loss: 2.2027
| TRAIN SET | Epoch [03/30], Step [0400/3466], Loss: 2.2176
| TRAIN SET | Epoch [03/30], Step [0500/3466], Loss: 1.9027
| TRAIN SET | Epoch [03/30], Step [0600/3466], Loss: 2.5436
| TRAIN SET | Epoch [03/30], Step [0700/3466], Loss: 1.9896
| TRAIN SET | Epoch [03/30], Step [0800/3466], Loss: 2.4780
| TRAIN SET | Epoch [03/30], Step [0900/3466], Loss: 2.0306
| TRAIN SET | Epoch [03/30], Step [1000/3466], Loss: 2.3860
| TRAIN SET | Epoch [03/30], Step [1100/3466], Loss: 2.0817
| TRAIN SET | Epoch [03/30], Step [1200/3466], Loss: 2.2844
| TRAIN SET | Epoch [03/30], Step [1300/3466], Loss: 2.3140
| TRAIN SET | Epoch [03/30], Step [1400/3466], Loss: 2.4019
| TRAIN SET | Epoch [03/30], Step [1500/3466], Loss: 2.2103
| TRAIN SET | Epoch [03/30], Step [1600/3466], Loss: 1.9475
| TRAIN SET | Epoch [03/30], Step [1700/3466], Loss: 2.1883
| TRAIN SET | Epoch [03/30], Step [1800/3466], Loss: 2.3222
| TRAIN SET | Epoch [03/30], Step [1900/3466], Loss: 2.0540
| TRAIN SET | Epoch [03/30], Step [2000/3466], Loss: 1.9961
| TRAIN SET | Epoch [03/30], Step [2100/3466], Loss: 2.4735
| TRAIN SET | Epoch [03/30], Step [2200/3466], Loss: 2.4135
| TRAIN SET | Epoch [03/30], Step [2300/3466], Loss: 2.1828
| TRAIN SET | Epoch [03/30], Step [2400/3466], Loss: 2.1724
| TRAIN SET | Epoch [03/30], Step [2500/3466], Loss: 2.3195
| TRAIN SET | Epoch [03/30], Step [2600/3466], Loss: 2.2498
| TRAIN SET | Epoch [03/30], Step [2700/3466], Loss: 1.9500
| TRAIN SET | Epoch [03/30], Step [2800/3466], Loss: 2.0766
| TRAIN SET | Epoch [03/30], Step [2900/3466], Loss: 2.2698
| TRAIN SET | Epoch [03/30], Step [3000/3466], Loss: 2.0723
| TRAIN SET | Epoch [03/30], Step [3100/3466], Loss: 2.4040
| TRAIN SET | Epoch [03/30], Step [3200/3466], Loss: 2.1415
| TRAIN SET | Epoch [03/30], Step [3300/3466], Loss: 2.1688
| TRAIN SET | Epoch [03/30], Step [3400/3466], Loss: 1.8610
| TRAIN SET | Epoch [03/30], Loss: 2.1778, Acc(Exp1): 0.5208, Acc(Exp2): 0.4865 

| VALID SET | Epoch [03/30], Step [0000/1674], Loss: 2.2841
| VALID SET | Epoch [03/30], Step [0100/1674], Loss: 1.8847
| VALID SET | Epoch [03/30], Step [0200/1674], Loss: 1.9041
| VALID SET | Epoch [03/30], Step [0300/1674], Loss: 2.1442
| VALID SET | Epoch [03/30], Step [0400/1674], Loss: 2.4517
| VALID SET | Epoch [03/30], Step [0500/1674], Loss: 2.3479
| VALID SET | Epoch [03/30], Step [0600/1674], Loss: 2.0966
| VALID SET | Epoch [03/30], Step [0700/1674], Loss: 2.1878
| VALID SET | Epoch [03/30], Step [0800/1674], Loss: 1.8170
| VALID SET | Epoch [03/30], Step [0900/1674], Loss: 2.0685
| VALID SET | Epoch [03/30], Step [1000/1674], Loss: 2.1288
| VALID SET | Epoch [03/30], Step [1100/1674], Loss: 2.2750
| VALID SET | Epoch [03/30], Step [1200/1674], Loss: 2.1984
| VALID SET | Epoch [03/30], Step [1300/1674], Loss: 2.2189
| VALID SET | Epoch [03/30], Step [1400/1674], Loss: 1.8720
| VALID SET | Epoch [03/30], Step [1500/1674], Loss: 2.0157
| VALID SET | Epoch [03/30], Step [1600/1674], Loss: 2.0090
| VALID SET | Epoch [03/30], Loss: 2.0760, Acc(Exp1): 0.5521, Acc(Exp2): 0.5183 

| TRAIN SET | Epoch [04/30], Step [0000/3466], Loss: 2.2855
| TRAIN SET | Epoch [04/30], Step [0100/3466], Loss: 2.0859
| TRAIN SET | Epoch [04/30], Step [0200/3466], Loss: 2.2539
| TRAIN SET | Epoch [04/30], Step [0300/3466], Loss: 2.0490
| TRAIN SET | Epoch [04/30], Step [0400/3466], Loss: 1.9538
| TRAIN SET | Epoch [04/30], Step [0500/3466], Loss: 2.2452
| TRAIN SET | Epoch [04/30], Step [0600/3466], Loss: 2.0854
| TRAIN SET | Epoch [04/30], Step [0700/3466], Loss: 2.1885
| TRAIN SET | Epoch [04/30], Step [0800/3466], Loss: 1.9872
| TRAIN SET | Epoch [04/30], Step [0900/3466], Loss: 2.1538
| TRAIN SET | Epoch [04/30], Step [1000/3466], Loss: 2.2368
| TRAIN SET | Epoch [04/30], Step [1100/3466], Loss: 2.5750
| TRAIN SET | Epoch [04/30], Step [1200/3466], Loss: 2.1109
