| TRAIN SET | Epoch [01/60], Step [0000/3466], Loss: 6.9068
| TRAIN SET | Epoch [01/60], Step [0100/3466], Loss: 4.4678
| TRAIN SET | Epoch [01/60], Step [0200/3466], Loss: 4.3806
| TRAIN SET | Epoch [01/60], Step [0300/3466], Loss: 3.7306
| TRAIN SET | Epoch [01/60], Step [0400/3466], Loss: 3.7536
| TRAIN SET | Epoch [01/60], Step [0500/3466], Loss: 3.9281
| TRAIN SET | Epoch [01/60], Step [0600/3466], Loss: 3.4475
| TRAIN SET | Epoch [01/60], Step [0700/3466], Loss: 3.2281
| TRAIN SET | Epoch [01/60], Step [0800/3466], Loss: 3.5974
| TRAIN SET | Epoch [01/60], Step [0900/3466], Loss: 3.4895
| TRAIN SET | Epoch [01/60], Step [1000/3466], Loss: 3.5672
| TRAIN SET | Epoch [01/60], Step [1100/3466], Loss: 3.2369
| TRAIN SET | Epoch [01/60], Step [1200/3466], Loss: 3.3578
| TRAIN SET | Epoch [01/60], Step [1300/3466], Loss: 3.2448
| TRAIN SET | Epoch [01/60], Step [1400/3466], Loss: 3.6982
| TRAIN SET | Epoch [01/60], Step [1500/3466], Loss: 3.2609
| TRAIN SET | Epoch [01/60], Step [1600/3466], Loss: 2.7570
| TRAIN SET | Epoch [01/60], Step [1700/3466], Loss: 3.1775
| TRAIN SET | Epoch [01/60], Step [1800/3466], Loss: 2.8664
| TRAIN SET | Epoch [01/60], Step [1900/3466], Loss: 3.1974
| TRAIN SET | Epoch [01/60], Step [2000/3466], Loss: 2.9760
| TRAIN SET | Epoch [01/60], Step [2100/3466], Loss: 2.8874
| TRAIN SET | Epoch [01/60], Step [2200/3466], Loss: 2.9143
| TRAIN SET | Epoch [01/60], Step [2300/3466], Loss: 2.6170
| TRAIN SET | Epoch [01/60], Step [2400/3466], Loss: 3.0149
| TRAIN SET | Epoch [01/60], Step [2500/3466], Loss: 2.6030
| TRAIN SET | Epoch [01/60], Step [2600/3466], Loss: 2.6174
| TRAIN SET | Epoch [01/60], Step [2700/3466], Loss: 3.0111
| TRAIN SET | Epoch [01/60], Step [2800/3466], Loss: 2.5432
| TRAIN SET | Epoch [01/60], Step [2900/3466], Loss: 2.5221
| TRAIN SET | Epoch [01/60], Step [3000/3466], Loss: 2.3915
| TRAIN SET | Epoch [01/60], Step [3100/3466], Loss: 2.7371
| TRAIN SET | Epoch [01/60], Step [3200/3466], Loss: 2.8379
| TRAIN SET | Epoch [01/60], Step [3300/3466], Loss: 2.5302
| TRAIN SET | Epoch [01/60], Step [3400/3466], Loss: 2.3029
| TRAIN SET | Epoch [01/60], Loss: 3.1185, Acc(Exp1): 0.3943, Acc(Exp2): 0.3637 

| VALID SET | Epoch [01/60], Step [0000/1674], Loss: 2.6305
| VALID SET | Epoch [01/60], Step [0100/1674], Loss: 2.0964
| VALID SET | Epoch [01/60], Step [0200/1674], Loss: 2.3133
| VALID SET | Epoch [01/60], Step [0300/1674], Loss: 2.5479
| VALID SET | Epoch [01/60], Step [0400/1674], Loss: 2.3847
| VALID SET | Epoch [01/60], Step [0500/1674], Loss: 2.4041
| VALID SET | Epoch [01/60], Step [0600/1674], Loss: 2.3821
| VALID SET | Epoch [01/60], Step [0700/1674], Loss: 2.7151
| VALID SET | Epoch [01/60], Step [0800/1674], Loss: 2.1842
| VALID SET | Epoch [01/60], Step [0900/1674], Loss: 2.4049
| VALID SET | Epoch [01/60], Step [1000/1674], Loss: 2.6881
| VALID SET | Epoch [01/60], Step [1100/1674], Loss: 2.4896
| VALID SET | Epoch [01/60], Step [1200/1674], Loss: 2.2769
| VALID SET | Epoch [01/60], Step [1300/1674], Loss: 2.3339
| VALID SET | Epoch [01/60], Step [1400/1674], Loss: 2.4262
| VALID SET | Epoch [01/60], Step [1500/1674], Loss: 2.3957
| VALID SET | Epoch [01/60], Step [1600/1674], Loss: 2.3905
| VALID SET | Epoch [01/60], Loss: 2.3744, Acc(Exp1): 0.4905, Acc(Exp2): 0.4519 

| TRAIN SET | Epoch [02/60], Step [0000/3466], Loss: 2.3370
| TRAIN SET | Epoch [02/60], Step [0100/3466], Loss: 2.0900
| TRAIN SET | Epoch [02/60], Step [0200/3466], Loss: 2.4506
| TRAIN SET | Epoch [02/60], Step [0300/3466], Loss: 2.5099
| TRAIN SET | Epoch [02/60], Step [0400/3466], Loss: 2.0774
| TRAIN SET | Epoch [02/60], Step [0500/3466], Loss: 2.1351
| TRAIN SET | Epoch [02/60], Step [0600/3466], Loss: 2.7305
| TRAIN SET | Epoch [02/60], Step [0700/3466], Loss: 2.2117
| TRAIN SET | Epoch [02/60], Step [0800/3466], Loss: 2.3356
| TRAIN SET | Epoch [02/60], Step [0900/3466], Loss: 2.3110
| TRAIN SET | Epoch [02/60], Step [1000/3466], Loss: 2.4440
| TRAIN SET | Epoch [02/60], Step [1100/3466], Loss: 2.3674
| TRAIN SET | Epoch [02/60], Step [1200/3466], Loss: 2.6440
| TRAIN SET | Epoch [02/60], Step [1300/3466], Loss: 2.4231
| TRAIN SET | Epoch [02/60], Step [1400/3466], Loss: 2.4803
| TRAIN SET | Epoch [02/60], Step [1500/3466], Loss: 2.3739
| TRAIN SET | Epoch [02/60], Step [1600/3466], Loss: 2.2335
| TRAIN SET | Epoch [02/60], Step [1700/3466], Loss: 2.5786
| TRAIN SET | Epoch [02/60], Step [1800/3466], Loss: 2.1272
| TRAIN SET | Epoch [02/60], Step [1900/3466], Loss: 2.7151
| TRAIN SET | Epoch [02/60], Step [2000/3466], Loss: 2.4238
| TRAIN SET | Epoch [02/60], Step [2100/3466], Loss: 2.4159
| TRAIN SET | Epoch [02/60], Step [2200/3466], Loss: 2.1185
| TRAIN SET | Epoch [02/60], Step [2300/3466], Loss: 2.3389
| TRAIN SET | Epoch [02/60], Step [2400/3466], Loss: 1.9454
| TRAIN SET | Epoch [02/60], Step [2500/3466], Loss: 2.3154
| TRAIN SET | Epoch [02/60], Step [2600/3466], Loss: 2.2333
| TRAIN SET | Epoch [02/60], Step [2700/3466], Loss: 2.2195
| TRAIN SET | Epoch [02/60], Step [2800/3466], Loss: 2.1003
| TRAIN SET | Epoch [02/60], Step [2900/3466], Loss: 2.1708
| TRAIN SET | Epoch [02/60], Step [3000/3466], Loss: 1.7812
| TRAIN SET | Epoch [02/60], Step [3100/3466], Loss: 2.2831
| TRAIN SET | Epoch [02/60], Step [3200/3466], Loss: 2.2318
| TRAIN SET | Epoch [02/60], Step [3300/3466], Loss: 2.1702
| TRAIN SET | Epoch [02/60], Step [3400/3466], Loss: 2.0614
| TRAIN SET | Epoch [02/60], Loss: 2.3191, Acc(Exp1): 0.4949, Acc(Exp2): 0.4607 

| VALID SET | Epoch [02/60], Step [0000/1674], Loss: 2.0381
| VALID SET | Epoch [02/60], Step [0100/1674], Loss: 2.2158
| VALID SET | Epoch [02/60], Step [0200/1674], Loss: 2.4174
| VALID SET | Epoch [02/60], Step [0300/1674], Loss: 2.0299
| VALID SET | Epoch [02/60], Step [0400/1674], Loss: 2.0672
| VALID SET | Epoch [02/60], Step [0500/1674], Loss: 2.2344
| VALID SET | Epoch [02/60], Step [0600/1674], Loss: 1.9753
| VALID SET | Epoch [02/60], Step [0700/1674], Loss: 2.0113
| VALID SET | Epoch [02/60], Step [0800/1674], Loss: 1.9821
| VALID SET | Epoch [02/60], Step [0900/1674], Loss: 1.9526
| VALID SET | Epoch [02/60], Step [1000/1674], Loss: 2.2348
| VALID SET | Epoch [02/60], Step [1100/1674], Loss: 2.1242
| VALID SET | Epoch [02/60], Step [1200/1674], Loss: 2.1804
| VALID SET | Epoch [02/60], Step [1300/1674], Loss: 2.3110
| VALID SET | Epoch [02/60], Step [1400/1674], Loss: 2.1495
| VALID SET | Epoch [02/60], Step [1500/1674], Loss: 2.1540
| VALID SET | Epoch [02/60], Step [1600/1674], Loss: 2.1179
| VALID SET | Epoch [02/60], Loss: 2.1588, Acc(Exp1): 0.5315, Acc(Exp2): 0.4971 

| TRAIN SET | Epoch [03/60], Step [0000/3466], Loss: 2.2764
| TRAIN SET | Epoch [03/60], Step [0100/3466], Loss: 2.3114
| TRAIN SET | Epoch [03/60], Step [0200/3466], Loss: 2.2119
| TRAIN SET | Epoch [03/60], Step [0300/3466], Loss: 1.9474
| TRAIN SET | Epoch [03/60], Step [0400/3466], Loss: 2.1989
| TRAIN SET | Epoch [03/60], Step [0500/3466], Loss: 2.1324
| TRAIN SET | Epoch [03/60], Step [0600/3466], Loss: 2.0975
| TRAIN SET | Epoch [03/60], Step [0700/3466], Loss: 2.0336
| TRAIN SET | Epoch [03/60], Step [0800/3466], Loss: 2.1970
| TRAIN SET | Epoch [03/60], Step [0900/3466], Loss: 2.0504
| TRAIN SET | Epoch [03/60], Step [1000/3466], Loss: 2.1249
| TRAIN SET | Epoch [03/60], Step [1100/3466], Loss: 1.8739
| TRAIN SET | Epoch [03/60], Step [1200/3466], Loss: 2.1422
| TRAIN SET | Epoch [03/60], Step [1300/3466], Loss: 1.6876
| TRAIN SET | Epoch [03/60], Step [1400/3466], Loss: 2.2362
| TRAIN SET | Epoch [03/60], Step [1500/3466], Loss: 1.8717
| TRAIN SET | Epoch [03/60], Step [1600/3466], Loss: 1.7840
| TRAIN SET | Epoch [03/60], Step [1700/3466], Loss: 2.2037
| TRAIN SET | Epoch [03/60], Step [1800/3466], Loss: 2.1966
| TRAIN SET | Epoch [03/60], Step [1900/3466], Loss: 2.3942
| TRAIN SET | Epoch [03/60], Step [2000/3466], Loss: 2.1122
| TRAIN SET | Epoch [03/60], Step [2100/3466], Loss: 2.3339
| TRAIN SET | Epoch [03/60], Step [2200/3466], Loss: 2.0592
| TRAIN SET | Epoch [03/60], Step [2300/3466], Loss: 2.0354
| TRAIN SET | Epoch [03/60], Step [2400/3466], Loss: 2.2758
| TRAIN SET | Epoch [03/60], Step [2500/3466], Loss: 2.1689
| TRAIN SET | Epoch [03/60], Step [2600/3466], Loss: 2.3144
| TRAIN SET | Epoch [03/60], Step [2700/3466], Loss: 2.0902
| TRAIN SET | Epoch [03/60], Step [2800/3466], Loss: 1.9860
| TRAIN SET | Epoch [03/60], Step [2900/3466], Loss: 2.0211
| TRAIN SET | Epoch [03/60], Step [3000/3466], Loss: 2.2237
| TRAIN SET | Epoch [03/60], Step [3100/3466], Loss: 2.2447
| TRAIN SET | Epoch [03/60], Step [3200/3466], Loss: 2.2306
| TRAIN SET | Epoch [03/60], Step [3300/3466], Loss: 1.9823
| TRAIN SET | Epoch [03/60], Step [3400/3466], Loss: 2.0731
| TRAIN SET | Epoch [03/60], Loss: 2.1717, Acc(Exp1): 0.5213, Acc(Exp2): 0.4872 

| VALID SET | Epoch [03/60], Step [0000/1674], Loss: 2.0755
| VALID SET | Epoch [03/60], Step [0100/1674], Loss: 2.1553
| VALID SET | Epoch [03/60], Step [0200/1674], Loss: 2.1091
| VALID SET | Epoch [03/60], Step [0300/1674], Loss: 1.8621
| VALID SET | Epoch [03/60], Step [0400/1674], Loss: 2.2228
| VALID SET | Epoch [03/60], Step [0500/1674], Loss: 2.0228
| VALID SET | Epoch [03/60], Step [0600/1674], Loss: 2.3254
| VALID SET | Epoch [03/60], Step [0700/1674], Loss: 2.2809
| VALID SET | Epoch [03/60], Step [0800/1674], Loss: 1.8126
| VALID SET | Epoch [03/60], Step [0900/1674], Loss: 2.0435
| VALID SET | Epoch [03/60], Step [1000/1674], Loss: 2.2393
| VALID SET | Epoch [03/60], Step [1100/1674], Loss: 2.4189
| VALID SET | Epoch [03/60], Step [1200/1674], Loss: 1.7414
| VALID SET | Epoch [03/60], Step [1300/1674], Loss: 2.7106
| VALID SET | Epoch [03/60], Step [1400/1674], Loss: 2.3964
| VALID SET | Epoch [03/60], Step [1500/1674], Loss: 2.0033
| VALID SET | Epoch [03/60], Step [1600/1674], Loss: 2.1998
| VALID SET | Epoch [03/60], Loss: 2.0770, Acc(Exp1): 0.5444, Acc(Exp2): 0.5079 

| TRAIN SET | Epoch [04/60], Step [0000/3466], Loss: 2.1758
| TRAIN SET | Epoch [04/60], Step [0100/3466], Loss: 2.2432
| TRAIN SET | Epoch [04/60], Step [0200/3466], Loss: 2.0098
| TRAIN SET | Epoch [04/60], Step [0300/3466], Loss: 2.1804
| TRAIN SET | Epoch [04/60], Step [0400/3466], Loss: 2.1637
| TRAIN SET | Epoch [04/60], Step [0500/3466], Loss: 2.1041
| TRAIN SET | Epoch [04/60], Step [0600/3466], Loss: 2.0298
| TRAIN SET | Epoch [04/60], Step [0700/3466], Loss: 2.1361
| TRAIN SET | Epoch [04/60], Step [0800/3466], Loss: 2.2471
| TRAIN SET | Epoch [04/60], Step [0900/3466], Loss: 2.3618
| TRAIN SET | Epoch [04/60], Step [1000/3466], Loss: 2.0902
| TRAIN SET | Epoch [04/60], Step [1100/3466], Loss: 1.9185
| TRAIN SET | Epoch [04/60], Step [1200/3466], Loss: 2.2837
| TRAIN SET | Epoch [04/60], Step [1300/3466], Loss: 2.2626
| TRAIN SET | Epoch [04/60], Step [1400/3466], Loss: 2.3736
| TRAIN SET | Epoch [04/60], Step [1500/3466], Loss: 1.8213
| TRAIN SET | Epoch [04/60], Step [1600/3466], Loss: 2.3182
| TRAIN SET | Epoch [04/60], Step [1700/3466], Loss: 2.2097
| TRAIN SET | Epoch [04/60], Step [1800/3466], Loss: 2.0343
| TRAIN SET | Epoch [04/60], Step [1900/3466], Loss: 1.9842
| TRAIN SET | Epoch [04/60], Step [2000/3466], Loss: 2.3745
| TRAIN SET | Epoch [04/60], Step [2100/3466], Loss: 2.0534
| TRAIN SET | Epoch [04/60], Step [2200/3466], Loss: 1.7752
| TRAIN SET | Epoch [04/60], Step [2300/3466], Loss: 1.9644
| TRAIN SET | Epoch [04/60], Step [2400/3466], Loss: 1.9027
| TRAIN SET | Epoch [04/60], Step [2500/3466], Loss: 1.7971
| TRAIN SET | Epoch [04/60], Step [2600/3466], Loss: 1.8391
| TRAIN SET | Epoch [04/60], Step [2700/3466], Loss: 2.4702
| TRAIN SET | Epoch [04/60], Step [2800/3466], Loss: 2.1168
| TRAIN SET | Epoch [04/60], Step [2900/3466], Loss: 2.2147
| TRAIN SET | Epoch [04/60], Step [3000/3466], Loss: 2.0513
| TRAIN SET | Epoch [04/60], Step [3100/3466], Loss: 2.2053
| TRAIN SET | Epoch [04/60], Step [3200/3466], Loss: 1.9322
| TRAIN SET | Epoch [04/60], Step [3300/3466], Loss: 2.0215
| TRAIN SET | Epoch [04/60], Step [3400/3466], Loss: 1.7862
| TRAIN SET | Epoch [04/60], Loss: 2.1002, Acc(Exp1): 0.5379, Acc(Exp2): 0.5038 

| VALID SET | Epoch [04/60], Step [0000/1674], Loss: 2.2338
| VALID SET | Epoch [04/60], Step [0100/1674], Loss: 2.1670
| VALID SET | Epoch [04/60], Step [0200/1674], Loss: 2.0240
| VALID SET | Epoch [04/60], Step [0300/1674], Loss: 2.0252
| VALID SET | Epoch [04/60], Step [0400/1674], Loss: 2.0366
| VALID SET | Epoch [04/60], Step [0500/1674], Loss: 2.0432
| VALID SET | Epoch [04/60], Step [0600/1674], Loss: 2.1968
| VALID SET | Epoch [04/60], Step [0700/1674], Loss: 2.1506
| VALID SET | Epoch [04/60], Step [0800/1674], Loss: 2.1180
| VALID SET | Epoch [04/60], Step [0900/1674], Loss: 2.0610
| VALID SET | Epoch [04/60], Step [1000/1674], Loss: 1.9528
| VALID SET | Epoch [04/60], Step [1100/1674], Loss: 1.9176
| VALID SET | Epoch [04/60], Step [1200/1674], Loss: 1.9679
| VALID SET | Epoch [04/60], Step [1300/1674], Loss: 2.1306
| VALID SET | Epoch [04/60], Step [1400/1674], Loss: 2.1340
