| TRAIN SET | Epoch [01/100], Step [0000/3466], Loss: 7.7785
| TRAIN SET | Epoch [01/100], Step [0100/3466], Loss: 4.4331
| TRAIN SET | Epoch [01/100], Step [0200/3466], Loss: 4.7382
| TRAIN SET | Epoch [01/100], Step [0300/3466], Loss: 4.4210
| TRAIN SET | Epoch [01/100], Step [0400/3466], Loss: 4.4337
| TRAIN SET | Epoch [01/100], Step [0500/3466], Loss: 4.4262
| TRAIN SET | Epoch [01/100], Step [0600/3466], Loss: 3.9469
| TRAIN SET | Epoch [01/100], Step [0700/3466], Loss: 4.6546
| TRAIN SET | Epoch [01/100], Step [0800/3466], Loss: 4.6278
| TRAIN SET | Epoch [01/100], Step [0900/3466], Loss: 4.0613
| TRAIN SET | Epoch [01/100], Step [1000/3466], Loss: 4.4117
| TRAIN SET | Epoch [01/100], Step [1100/3466], Loss: 4.2309
| TRAIN SET | Epoch [01/100], Step [1200/3466], Loss: 4.3123
| TRAIN SET | Epoch [01/100], Step [1300/3466], Loss: 4.4005
| TRAIN SET | Epoch [01/100], Step [1400/3466], Loss: 4.1640
| TRAIN SET | Epoch [01/100], Step [1500/3466], Loss: 4.0387
| TRAIN SET | Epoch [01/100], Step [1600/3466], Loss: 4.5059
| TRAIN SET | Epoch [01/100], Step [1700/3466], Loss: 4.5278
| TRAIN SET | Epoch [01/100], Step [1800/3466], Loss: 3.6926
| TRAIN SET | Epoch [01/100], Step [1900/3466], Loss: 4.0443
| TRAIN SET | Epoch [01/100], Step [2000/3466], Loss: 4.7346
| TRAIN SET | Epoch [01/100], Step [2100/3466], Loss: 4.5061
| TRAIN SET | Epoch [01/100], Step [2200/3466], Loss: 4.3360
| TRAIN SET | Epoch [01/100], Step [2300/3466], Loss: 4.2004
| TRAIN SET | Epoch [01/100], Step [2400/3466], Loss: 4.3521
| TRAIN SET | Epoch [01/100], Step [2500/3466], Loss: 3.9524
| TRAIN SET | Epoch [01/100], Step [2600/3466], Loss: 4.3779
| TRAIN SET | Epoch [01/100], Step [2700/3466], Loss: 4.2739
| TRAIN SET | Epoch [01/100], Step [2800/3466], Loss: 3.3493
| TRAIN SET | Epoch [01/100], Step [2900/3466], Loss: 3.0376
| TRAIN SET | Epoch [01/100], Step [3000/3466], Loss: 3.0042
| TRAIN SET | Epoch [01/100], Step [3100/3466], Loss: 2.7189
| TRAIN SET | Epoch [01/100], Step [3200/3466], Loss: 2.8795
| TRAIN SET | Epoch [01/100], Step [3300/3466], Loss: 3.3312
| TRAIN SET | Epoch [01/100], Step [3400/3466], Loss: 2.9515
| TRAIN SET | Epoch [01/100], Loss: 4.0464, Acc(Exp1): 0.3517, Acc(Exp2): 0.3431 

| VALID SET | Epoch [01/100], Step [0000/1674], Loss: 2.9889
| VALID SET | Epoch [01/100], Step [0100/1674], Loss: 3.0277
| VALID SET | Epoch [01/100], Step [0200/1674], Loss: 2.7062
| VALID SET | Epoch [01/100], Step [0300/1674], Loss: 2.6491
| VALID SET | Epoch [01/100], Step [0400/1674], Loss: 2.4900
| VALID SET | Epoch [01/100], Step [0500/1674], Loss: 3.0885
| VALID SET | Epoch [01/100], Step [0600/1674], Loss: 2.8537
| VALID SET | Epoch [01/100], Step [0700/1674], Loss: 2.4686
| VALID SET | Epoch [01/100], Step [0800/1674], Loss: 2.6331
| VALID SET | Epoch [01/100], Step [0900/1674], Loss: 3.1916
| VALID SET | Epoch [01/100], Step [1000/1674], Loss: 3.2713
| VALID SET | Epoch [01/100], Step [1100/1674], Loss: 3.0574
| VALID SET | Epoch [01/100], Step [1200/1674], Loss: 2.8872
| VALID SET | Epoch [01/100], Step [1300/1674], Loss: 2.8673
| VALID SET | Epoch [01/100], Step [1400/1674], Loss: 2.9566
| VALID SET | Epoch [01/100], Step [1500/1674], Loss: 2.9789
| VALID SET | Epoch [01/100], Step [1600/1674], Loss: 2.8966
| VALID SET | Epoch [01/100], Loss: 2.8665, Acc(Exp1): 0.4682, Acc(Exp2): 0.4348 

| TRAIN SET | Epoch [02/100], Step [0000/3466], Loss: 2.9247
| TRAIN SET | Epoch [02/100], Step [0100/3466], Loss: 3.2756
| TRAIN SET | Epoch [02/100], Step [0200/3466], Loss: 2.9091
| TRAIN SET | Epoch [02/100], Step [0300/3466], Loss: 2.6862
| TRAIN SET | Epoch [02/100], Step [0400/3466], Loss: 2.9145
| TRAIN SET | Epoch [02/100], Step [0500/3466], Loss: 2.8341
| TRAIN SET | Epoch [02/100], Step [0600/3466], Loss: 2.6508
| TRAIN SET | Epoch [02/100], Step [0700/3466], Loss: 2.9891
| TRAIN SET | Epoch [02/100], Step [0800/3466], Loss: 2.7838
| TRAIN SET | Epoch [02/100], Step [0900/3466], Loss: 2.6791
| TRAIN SET | Epoch [02/100], Step [1000/3466], Loss: 2.7563
| TRAIN SET | Epoch [02/100], Step [1100/3466], Loss: 2.1009
| TRAIN SET | Epoch [02/100], Step [1200/3466], Loss: 2.3230
| TRAIN SET | Epoch [02/100], Step [1300/3466], Loss: 2.4863
| TRAIN SET | Epoch [02/100], Step [1400/3466], Loss: 2.7946
| TRAIN SET | Epoch [02/100], Step [1500/3466], Loss: 2.6351
| TRAIN SET | Epoch [02/100], Step [1600/3466], Loss: 2.6668
| TRAIN SET | Epoch [02/100], Step [1700/3466], Loss: 2.4834
| TRAIN SET | Epoch [02/100], Step [1800/3466], Loss: 2.4171
| TRAIN SET | Epoch [02/100], Step [1900/3466], Loss: 2.9793
| TRAIN SET | Epoch [02/100], Step [2000/3466], Loss: 2.6531
| TRAIN SET | Epoch [02/100], Step [2100/3466], Loss: 2.3917
| TRAIN SET | Epoch [02/100], Step [2200/3466], Loss: 2.8686
| TRAIN SET | Epoch [02/100], Step [2300/3466], Loss: 2.5171
| TRAIN SET | Epoch [02/100], Step [2400/3466], Loss: 2.6221
| TRAIN SET | Epoch [02/100], Step [2500/3466], Loss: 2.2166
| TRAIN SET | Epoch [02/100], Step [2600/3466], Loss: 2.6977
| TRAIN SET | Epoch [02/100], Step [2700/3466], Loss: 2.1725
| TRAIN SET | Epoch [02/100], Step [2800/3466], Loss: 2.4604
| TRAIN SET | Epoch [02/100], Step [2900/3466], Loss: 2.3646
| TRAIN SET | Epoch [02/100], Step [3000/3466], Loss: 2.5401
| TRAIN SET | Epoch [02/100], Step [3100/3466], Loss: 2.2215
| TRAIN SET | Epoch [02/100], Step [3200/3466], Loss: 2.4737
| TRAIN SET | Epoch [02/100], Step [3300/3466], Loss: 2.6870
| TRAIN SET | Epoch [02/100], Step [3400/3466], Loss: 2.4354
| TRAIN SET | Epoch [02/100], Loss: 2.6202, Acc(Exp1): 0.5011, Acc(Exp2): 0.4653 

| VALID SET | Epoch [02/100], Step [0000/1674], Loss: 2.1724
| VALID SET | Epoch [02/100], Step [0100/1674], Loss: 1.9673
| VALID SET | Epoch [02/100], Step [0200/1674], Loss: 2.3991
| VALID SET | Epoch [02/100], Step [0300/1674], Loss: 2.0509
| VALID SET | Epoch [02/100], Step [0400/1674], Loss: 2.2985
| VALID SET | Epoch [02/100], Step [0500/1674], Loss: 2.3610
| VALID SET | Epoch [02/100], Step [0600/1674], Loss: 2.4143
| VALID SET | Epoch [02/100], Step [0700/1674], Loss: 2.0736
| VALID SET | Epoch [02/100], Step [0800/1674], Loss: 1.9956
| VALID SET | Epoch [02/100], Step [0900/1674], Loss: 2.4507
| VALID SET | Epoch [02/100], Step [1000/1674], Loss: 3.0517
| VALID SET | Epoch [02/100], Step [1100/1674], Loss: 2.2799
| VALID SET | Epoch [02/100], Step [1200/1674], Loss: 2.3059
| VALID SET | Epoch [02/100], Step [1300/1674], Loss: 1.8933
| VALID SET | Epoch [02/100], Step [1400/1674], Loss: 2.4350
| VALID SET | Epoch [02/100], Step [1500/1674], Loss: 2.6772
| VALID SET | Epoch [02/100], Step [1600/1674], Loss: 2.2057
| VALID SET | Epoch [02/100], Loss: 2.3637, Acc(Exp1): 0.5414, Acc(Exp2): 0.5043 

| TRAIN SET | Epoch [03/100], Step [0000/3466], Loss: 2.4808
| TRAIN SET | Epoch [03/100], Step [0100/3466], Loss: 2.3393
| TRAIN SET | Epoch [03/100], Step [0200/3466], Loss: 2.2183
| TRAIN SET | Epoch [03/100], Step [0300/3466], Loss: 2.3543
| TRAIN SET | Epoch [03/100], Step [0400/3466], Loss: 2.1703
| TRAIN SET | Epoch [03/100], Step [0500/3466], Loss: 2.4147
| TRAIN SET | Epoch [03/100], Step [0600/3466], Loss: 2.6928
| TRAIN SET | Epoch [03/100], Step [0700/3466], Loss: 2.2867
| TRAIN SET | Epoch [03/100], Step [0800/3466], Loss: 2.4630
| TRAIN SET | Epoch [03/100], Step [0900/3466], Loss: 2.0308
| TRAIN SET | Epoch [03/100], Step [1000/3466], Loss: 2.2567
| TRAIN SET | Epoch [03/100], Step [1100/3466], Loss: 2.6288
| TRAIN SET | Epoch [03/100], Step [1200/3466], Loss: 2.4260
| TRAIN SET | Epoch [03/100], Step [1300/3466], Loss: 2.2684
| TRAIN SET | Epoch [03/100], Step [1400/3466], Loss: 2.5423
| TRAIN SET | Epoch [03/100], Step [1500/3466], Loss: 2.6856
| TRAIN SET | Epoch [03/100], Step [1600/3466], Loss: 2.1190
| TRAIN SET | Epoch [03/100], Step [1700/3466], Loss: 2.5472
| TRAIN SET | Epoch [03/100], Step [1800/3466], Loss: 1.9642
| TRAIN SET | Epoch [03/100], Step [1900/3466], Loss: 2.4195
| TRAIN SET | Epoch [03/100], Step [2000/3466], Loss: 2.1564
| TRAIN SET | Epoch [03/100], Step [2100/3466], Loss: 2.2693
| TRAIN SET | Epoch [03/100], Step [2200/3466], Loss: 2.3723
| TRAIN SET | Epoch [03/100], Step [2300/3466], Loss: 2.1710
| TRAIN SET | Epoch [03/100], Step [2400/3466], Loss: 1.9969
| TRAIN SET | Epoch [03/100], Step [2500/3466], Loss: 2.4156
| TRAIN SET | Epoch [03/100], Step [2600/3466], Loss: 2.0629
| TRAIN SET | Epoch [03/100], Step [2700/3466], Loss: 2.1107
| TRAIN SET | Epoch [03/100], Step [2800/3466], Loss: 2.4716
| TRAIN SET | Epoch [03/100], Step [2900/3466], Loss: 2.6098
| TRAIN SET | Epoch [03/100], Step [3000/3466], Loss: 2.3795
| TRAIN SET | Epoch [03/100], Step [3100/3466], Loss: 2.5112
| TRAIN SET | Epoch [03/100], Step [3200/3466], Loss: 1.9788
| TRAIN SET | Epoch [03/100], Step [3300/3466], Loss: 2.1155
| TRAIN SET | Epoch [03/100], Step [3400/3466], Loss: 2.8783
| TRAIN SET | Epoch [03/100], Loss: 2.3464, Acc(Exp1): 0.5421, Acc(Exp2): 0.5075 

| VALID SET | Epoch [03/100], Step [0000/1674], Loss: 2.0701
| VALID SET | Epoch [03/100], Step [0100/1674], Loss: 2.0860
| VALID SET | Epoch [03/100], Step [0200/1674], Loss: 2.2747
| VALID SET | Epoch [03/100], Step [0300/1674], Loss: 2.6032
| VALID SET | Epoch [03/100], Step [0400/1674], Loss: 2.1729
| VALID SET | Epoch [03/100], Step [0500/1674], Loss: 2.1212
| VALID SET | Epoch [03/100], Step [0600/1674], Loss: 2.1922
| VALID SET | Epoch [03/100], Step [0700/1674], Loss: 2.2190
| VALID SET | Epoch [03/100], Step [0800/1674], Loss: 2.1132
| VALID SET | Epoch [03/100], Step [0900/1674], Loss: 2.2627
| VALID SET | Epoch [03/100], Step [1000/1674], Loss: 1.8916
| VALID SET | Epoch [03/100], Step [1100/1674], Loss: 2.0645
| VALID SET | Epoch [03/100], Step [1200/1674], Loss: 2.4120
| VALID SET | Epoch [03/100], Step [1300/1674], Loss: 2.3511
| VALID SET | Epoch [03/100], Step [1400/1674], Loss: 2.6285
| VALID SET | Epoch [03/100], Step [1500/1674], Loss: 2.3192
| VALID SET | Epoch [03/100], Step [1600/1674], Loss: 2.4635
| VALID SET | Epoch [03/100], Loss: 2.2380, Acc(Exp1): 0.5652, Acc(Exp2): 0.5306 

| TRAIN SET | Epoch [04/100], Step [0000/3466], Loss: 2.4490
| TRAIN SET | Epoch [04/100], Step [0100/3466], Loss: 2.9510
| TRAIN SET | Epoch [04/100], Step [0200/3466], Loss: 2.3524
| TRAIN SET | Epoch [04/100], Step [0300/3466], Loss: 2.2009
