| TRAIN SET | Epoch [01/100], Step [0000/3466], Loss: 7.0565
| TRAIN SET | Epoch [01/100], Step [0100/3466], Loss: 4.5837
| TRAIN SET | Epoch [01/100], Step [0200/3466], Loss: 4.3110
| TRAIN SET | Epoch [01/100], Step [0300/3466], Loss: 4.1919
| TRAIN SET | Epoch [01/100], Step [0400/3466], Loss: 4.4587
| TRAIN SET | Epoch [01/100], Step [0500/3466], Loss: 3.9976
| TRAIN SET | Epoch [01/100], Step [0600/3466], Loss: 3.9248
| TRAIN SET | Epoch [01/100], Step [0700/3466], Loss: 4.0640
| TRAIN SET | Epoch [01/100], Step [0800/3466], Loss: 4.1820
| TRAIN SET | Epoch [01/100], Step [0900/3466], Loss: 4.2353
| TRAIN SET | Epoch [01/100], Step [1000/3466], Loss: 3.8822
| TRAIN SET | Epoch [01/100], Step [1100/3466], Loss: 4.3826
| TRAIN SET | Epoch [01/100], Step [1200/3466], Loss: 4.2912
| TRAIN SET | Epoch [01/100], Step [1300/3466], Loss: 3.9311
| TRAIN SET | Epoch [01/100], Step [1400/3466], Loss: 4.4836
| TRAIN SET | Epoch [01/100], Step [1500/3466], Loss: 4.4644
| TRAIN SET | Epoch [01/100], Step [1600/3466], Loss: 4.1761
| TRAIN SET | Epoch [01/100], Step [1700/3466], Loss: 3.8749
| TRAIN SET | Epoch [01/100], Step [1800/3466], Loss: 4.1687
| TRAIN SET | Epoch [01/100], Step [1900/3466], Loss: 4.2509
| TRAIN SET | Epoch [01/100], Step [2000/3466], Loss: 3.9962
| TRAIN SET | Epoch [01/100], Step [2100/3466], Loss: 3.7056
| TRAIN SET | Epoch [01/100], Step [2200/3466], Loss: 3.6064
| TRAIN SET | Epoch [01/100], Step [2300/3466], Loss: 3.1958
| TRAIN SET | Epoch [01/100], Step [2400/3466], Loss: 3.6780
| TRAIN SET | Epoch [01/100], Step [2500/3466], Loss: 2.9590
| TRAIN SET | Epoch [01/100], Step [2600/3466], Loss: 2.9252
| TRAIN SET | Epoch [01/100], Step [2700/3466], Loss: 2.6673
| TRAIN SET | Epoch [01/100], Step [2800/3466], Loss: 3.0013
| TRAIN SET | Epoch [01/100], Step [2900/3466], Loss: 2.9388
| TRAIN SET | Epoch [01/100], Step [3000/3466], Loss: 3.2888
| TRAIN SET | Epoch [01/100], Step [3100/3466], Loss: 2.7953
| TRAIN SET | Epoch [01/100], Step [3200/3466], Loss: 2.6041
| TRAIN SET | Epoch [01/100], Step [3300/3466], Loss: 2.6273
| TRAIN SET | Epoch [01/100], Step [3400/3466], Loss: 2.9212
| TRAIN SET | Epoch [01/100], Loss: 3.7211, Acc(Exp1): 0.3987, Acc(Exp2): 0.3827 

| VALID SET | Epoch [01/100], Step [0000/1674], Loss: 2.7153
| VALID SET | Epoch [01/100], Step [0100/1674], Loss: 2.6591
| VALID SET | Epoch [01/100], Step [0200/1674], Loss: 2.7883
| VALID SET | Epoch [01/100], Step [0300/1674], Loss: 2.5519
| VALID SET | Epoch [01/100], Step [0400/1674], Loss: 2.7437
| VALID SET | Epoch [01/100], Step [0500/1674], Loss: 2.6205
| VALID SET | Epoch [01/100], Step [0600/1674], Loss: 2.3782
| VALID SET | Epoch [01/100], Step [0700/1674], Loss: 2.7529
| VALID SET | Epoch [01/100], Step [0800/1674], Loss: 2.5556
| VALID SET | Epoch [01/100], Step [0900/1674], Loss: 2.8608
| VALID SET | Epoch [01/100], Step [1000/1674], Loss: 2.7885
| VALID SET | Epoch [01/100], Step [1100/1674], Loss: 2.6942
| VALID SET | Epoch [01/100], Step [1200/1674], Loss: 2.6910
| VALID SET | Epoch [01/100], Step [1300/1674], Loss: 2.8021
| VALID SET | Epoch [01/100], Step [1400/1674], Loss: 2.7621
| VALID SET | Epoch [01/100], Step [1500/1674], Loss: 2.6415
| VALID SET | Epoch [01/100], Step [1600/1674], Loss: 2.7039
| VALID SET | Epoch [01/100], Loss: 2.7608, Acc(Exp1): 0.5118, Acc(Exp2): 0.4739 

| TRAIN SET | Epoch [02/100], Step [0000/3466], Loss: 3.3914
| TRAIN SET | Epoch [02/100], Step [0100/3466], Loss: 2.8521
| TRAIN SET | Epoch [02/100], Step [0200/3466], Loss: 2.5852
| TRAIN SET | Epoch [02/100], Step [0300/3466], Loss: 2.7545
| TRAIN SET | Epoch [02/100], Step [0400/3466], Loss: 2.6871
| TRAIN SET | Epoch [02/100], Step [0500/3466], Loss: 2.6827
| TRAIN SET | Epoch [02/100], Step [0600/3466], Loss: 3.3379
| TRAIN SET | Epoch [02/100], Step [0700/3466], Loss: 2.6113
