| TRAIN SET | Epoch [01/100], Step [0000/3466], Loss: 7.2185
| TRAIN SET | Epoch [01/100], Step [0100/3466], Loss: 4.5646
| TRAIN SET | Epoch [01/100], Step [0200/3466], Loss: 4.5585
| TRAIN SET | Epoch [01/100], Step [0300/3466], Loss: 4.3977
| TRAIN SET | Epoch [01/100], Step [0400/3466], Loss: 4.1763
| TRAIN SET | Epoch [01/100], Step [0500/3466], Loss: 4.2077
| TRAIN SET | Epoch [01/100], Step [0600/3466], Loss: 4.4150
| TRAIN SET | Epoch [01/100], Step [0700/3466], Loss: 4.2663
| TRAIN SET | Epoch [01/100], Step [0800/3466], Loss: 4.2335
| TRAIN SET | Epoch [01/100], Step [0900/3466], Loss: 4.4037
| TRAIN SET | Epoch [01/100], Step [1000/3466], Loss: 4.3758
| TRAIN SET | Epoch [01/100], Step [1100/3466], Loss: 4.5119
| TRAIN SET | Epoch [01/100], Step [1200/3466], Loss: 4.0690
| TRAIN SET | Epoch [01/100], Step [1300/3466], Loss: 4.4463
| TRAIN SET | Epoch [01/100], Step [1400/3466], Loss: 4.6363
| TRAIN SET | Epoch [01/100], Step [1500/3466], Loss: 4.0591
| TRAIN SET | Epoch [01/100], Step [1600/3466], Loss: 3.9881
| TRAIN SET | Epoch [01/100], Step [1700/3466], Loss: 3.9292
| TRAIN SET | Epoch [01/100], Step [1800/3466], Loss: 3.8961
| TRAIN SET | Epoch [01/100], Step [1900/3466], Loss: 3.9314
| TRAIN SET | Epoch [01/100], Step [2000/3466], Loss: 4.1226
| TRAIN SET | Epoch [01/100], Step [2100/3466], Loss: 4.0468
| TRAIN SET | Epoch [01/100], Step [2200/3466], Loss: 4.1880
| TRAIN SET | Epoch [01/100], Step [2300/3466], Loss: 4.2172
| TRAIN SET | Epoch [01/100], Step [2400/3466], Loss: 4.5328
| TRAIN SET | Epoch [01/100], Step [2500/3466], Loss: 3.8851
| TRAIN SET | Epoch [01/100], Step [2600/3466], Loss: 3.9759
| TRAIN SET | Epoch [01/100], Step [2700/3466], Loss: 4.3228
| TRAIN SET | Epoch [01/100], Step [2800/3466], Loss: 4.0254
| TRAIN SET | Epoch [01/100], Step [2900/3466], Loss: 4.1672
| TRAIN SET | Epoch [01/100], Step [3000/3466], Loss: 3.7613
| TRAIN SET | Epoch [01/100], Step [3100/3466], Loss: 2.8112
| TRAIN SET | Epoch [01/100], Step [3200/3466], Loss: 2.7157
| TRAIN SET | Epoch [01/100], Step [3300/3466], Loss: 2.4048
| TRAIN SET | Epoch [01/100], Step [3400/3466], Loss: 3.3530
| TRAIN SET | Epoch [01/100], Loss: 4.0922, Acc(Exp1): 0.3626, Acc(Exp2): 0.3558 

| VALID SET | Epoch [01/100], Step [0000/1674], Loss: 2.9697
| VALID SET | Epoch [01/100], Step [0100/1674], Loss: 2.2664
| VALID SET | Epoch [01/100], Step [0200/1674], Loss: 2.4143
| VALID SET | Epoch [01/100], Step [0300/1674], Loss: 2.7572
| VALID SET | Epoch [01/100], Step [0400/1674], Loss: 2.9855
| VALID SET | Epoch [01/100], Step [0500/1674], Loss: 2.7208
| VALID SET | Epoch [01/100], Step [0600/1674], Loss: 2.9490
| VALID SET | Epoch [01/100], Step [0700/1674], Loss: 2.8673
| VALID SET | Epoch [01/100], Step [0800/1674], Loss: 2.7722
| VALID SET | Epoch [01/100], Step [0900/1674], Loss: 2.6232
| VALID SET | Epoch [01/100], Step [1000/1674], Loss: 2.8061
| VALID SET | Epoch [01/100], Step [1100/1674], Loss: 2.6745
| VALID SET | Epoch [01/100], Step [1200/1674], Loss: 2.8201
| VALID SET | Epoch [01/100], Step [1300/1674], Loss: 2.4783
| VALID SET | Epoch [01/100], Step [1400/1674], Loss: 3.0205
| VALID SET | Epoch [01/100], Step [1500/1674], Loss: 2.9050
| VALID SET | Epoch [01/100], Step [1600/1674], Loss: 2.6757
| VALID SET | Epoch [01/100], Loss: 2.7668, Acc(Exp1): 0.5080, Acc(Exp2): 0.4694 

| TRAIN SET | Epoch [02/100], Step [0000/3466], Loss: 3.0678
| TRAIN SET | Epoch [02/100], Step [0100/3466], Loss: 2.4424
| TRAIN SET | Epoch [02/100], Step [0200/3466], Loss: 2.3777
| TRAIN SET | Epoch [02/100], Step [0300/3466], Loss: 2.8185
| TRAIN SET | Epoch [02/100], Step [0400/3466], Loss: 2.5548
| TRAIN SET | Epoch [02/100], Step [0500/3466], Loss: 2.8780
| TRAIN SET | Epoch [02/100], Step [0600/3466], Loss: 2.4286
| TRAIN SET | Epoch [02/100], Step [0700/3466], Loss: 2.4578
| TRAIN SET | Epoch [02/100], Step [0800/3466], Loss: 2.7736
| TRAIN SET | Epoch [02/100], Step [0900/3466], Loss: 2.2176
| TRAIN SET | Epoch [02/100], Step [1000/3466], Loss: 2.3878
| TRAIN SET | Epoch [02/100], Step [1100/3466], Loss: 2.4769
| TRAIN SET | Epoch [02/100], Step [1200/3466], Loss: 2.4776
| TRAIN SET | Epoch [02/100], Step [1300/3466], Loss: 2.8651
| TRAIN SET | Epoch [02/100], Step [1400/3466], Loss: 2.7991
