| TRAIN SET | Epoch [01/100], Step [0000/3466], Loss: 7.1428
| TRAIN SET | Epoch [01/100], Step [0100/3466], Loss: 4.9397
| TRAIN SET | Epoch [01/100], Step [0000/3466], Loss: 7.2157
| TRAIN SET | Epoch [01/100], Step [0000/3466], Loss: 7.4510
| TRAIN SET | Epoch [01/100], Step [0100/3466], Loss: 5.5233
| TRAIN SET | Epoch [01/100], Step [0200/3466], Loss: 5.0565
| TRAIN SET | Epoch [01/100], Step [0300/3466], Loss: 5.0935
| TRAIN SET | Epoch [01/100], Step [0400/3466], Loss: 5.0164
| TRAIN SET | Epoch [01/100], Step [0500/3466], Loss: 6.5805
| TRAIN SET | Epoch [01/100], Step [0600/3466], Loss: 5.1962
| TRAIN SET | Epoch [01/100], Step [0700/3466], Loss: 5.0577
| TRAIN SET | Epoch [01/100], Step [0800/3466], Loss: 5.0331
| TRAIN SET | Epoch [01/100], Step [0900/3466], Loss: 4.5276
| TRAIN SET | Epoch [01/100], Step [1000/3466], Loss: 4.9792
| TRAIN SET | Epoch [01/100], Step [1100/3466], Loss: 5.3715
| TRAIN SET | Epoch [01/100], Step [1200/3466], Loss: 5.5861
| TRAIN SET | Epoch [01/100], Step [1300/3466], Loss: 4.8904
| TRAIN SET | Epoch [01/100], Step [1400/3466], Loss: 4.9327
| TRAIN SET | Epoch [01/100], Step [1500/3466], Loss: 5.2142
| TRAIN SET | Epoch [01/100], Step [1600/3466], Loss: 5.0025
| TRAIN SET | Epoch [01/100], Step [1700/3466], Loss: 5.4488
| TRAIN SET | Epoch [01/100], Step [1800/3466], Loss: 5.2164
| TRAIN SET | Epoch [01/100], Step [1900/3466], Loss: 4.8356
| TRAIN SET | Epoch [01/100], Step [2000/3466], Loss: 5.2743
| TRAIN SET | Epoch [01/100], Step [2100/3466], Loss: 5.2298
| TRAIN SET | Epoch [01/100], Step [2200/3466], Loss: 5.0095
| TRAIN SET | Epoch [01/100], Step [2300/3466], Loss: 5.1922
| TRAIN SET | Epoch [01/100], Step [2400/3466], Loss: 5.4325
| TRAIN SET | Epoch [01/100], Step [2500/3466], Loss: 5.2538
| TRAIN SET | Epoch [01/100], Step [2600/3466], Loss: 5.1508
| TRAIN SET | Epoch [01/100], Step [2700/3466], Loss: 5.0395
| TRAIN SET | Epoch [01/100], Step [2800/3466], Loss: 5.2784
| TRAIN SET | Epoch [01/100], Step [2900/3466], Loss: 5.6544
| TRAIN SET | Epoch [01/100], Step [3000/3466], Loss: 5.6776
| TRAIN SET | Epoch [01/100], Step [0000/3466], Loss: 7.7490
| TRAIN SET | Epoch [01/100], Step [0100/3466], Loss: 4.8301
| TRAIN SET | Epoch [01/100], Step [0200/3466], Loss: 5.2508
| TRAIN SET | Epoch [01/100], Step [0300/3466], Loss: 4.9132
| TRAIN SET | Epoch [01/100], Step [0400/3466], Loss: 5.2207
| TRAIN SET | Epoch [01/100], Step [0500/3466], Loss: 4.8466
| TRAIN SET | Epoch [01/100], Step [0600/3466], Loss: 4.5377
| TRAIN SET | Epoch [01/100], Step [0700/3466], Loss: 5.0920
| TRAIN SET | Epoch [01/100], Step [0800/3466], Loss: 4.7908
| TRAIN SET | Epoch [01/100], Step [0900/3466], Loss: 5.3763
| TRAIN SET | Epoch [01/100], Step [1000/3466], Loss: 6.9543
| TRAIN SET | Epoch [01/100], Step [1100/3466], Loss: 5.0057
| TRAIN SET | Epoch [01/100], Step [1200/3466], Loss: 4.8204
