| TRAIN SET | Epoch [01/100], Step [0000/3466], Loss: 6.9229
| TRAIN SET | Epoch [01/100], Step [0100/3466], Loss: 4.3897
| TRAIN SET | Epoch [01/100], Step [0200/3466], Loss: 4.6688
| TRAIN SET | Epoch [01/100], Step [0300/3466], Loss: 4.8360
| TRAIN SET | Epoch [01/100], Step [0400/3466], Loss: 4.0850
| TRAIN SET | Epoch [01/100], Step [0500/3466], Loss: 4.4679
| TRAIN SET | Epoch [01/100], Step [0600/3466], Loss: 4.2435
| TRAIN SET | Epoch [01/100], Step [0700/3466], Loss: 4.2431
| TRAIN SET | Epoch [01/100], Step [0800/3466], Loss: 3.7414
| TRAIN SET | Epoch [01/100], Step [0900/3466], Loss: 4.5879
| TRAIN SET | Epoch [01/100], Step [1000/3466], Loss: 4.3841
| TRAIN SET | Epoch [01/100], Step [1100/3466], Loss: 4.2121
| TRAIN SET | Epoch [01/100], Step [1200/3466], Loss: 4.6478
| TRAIN SET | Epoch [01/100], Step [1300/3466], Loss: 4.0748
| TRAIN SET | Epoch [01/100], Step [1400/3466], Loss: 3.9609
| TRAIN SET | Epoch [01/100], Step [1500/3466], Loss: 4.1028
| TRAIN SET | Epoch [01/100], Step [1600/3466], Loss: 4.1275
| TRAIN SET | Epoch [01/100], Step [1700/3466], Loss: 4.0268
| TRAIN SET | Epoch [01/100], Step [1800/3466], Loss: 4.4087
| TRAIN SET | Epoch [01/100], Step [1900/3466], Loss: 4.0579
| TRAIN SET | Epoch [01/100], Step [2000/3466], Loss: 4.2438
| TRAIN SET | Epoch [01/100], Step [2100/3466], Loss: 4.0410
| TRAIN SET | Epoch [01/100], Step [2200/3466], Loss: 4.0714
| TRAIN SET | Epoch [01/100], Step [2300/3466], Loss: 4.0903
| TRAIN SET | Epoch [01/100], Step [2400/3466], Loss: 3.4870
| TRAIN SET | Epoch [01/100], Step [2500/3466], Loss: 3.2954
| TRAIN SET | Epoch [01/100], Step [2600/3466], Loss: 2.6538
| TRAIN SET | Epoch [01/100], Step [2700/3466], Loss: 3.1940
| TRAIN SET | Epoch [01/100], Step [2800/3466], Loss: 2.3560
| TRAIN SET | Epoch [01/100], Step [2900/3466], Loss: 2.7380
| TRAIN SET | Epoch [01/100], Step [3000/3466], Loss: 3.1632
| TRAIN SET | Epoch [01/100], Step [3100/3466], Loss: 3.1836
| TRAIN SET | Epoch [01/100], Step [3200/3466], Loss: 3.1196
| TRAIN SET | Epoch [01/100], Step [3300/3466], Loss: 2.5621
| TRAIN SET | Epoch [01/100], Step [3400/3466], Loss: 3.0602
| TRAIN SET | Epoch [01/100], Loss: 3.8749, Acc(Exp1): 0.3902, Acc(Exp2): 0.3780 

| VALID SET | Epoch [01/100], Step [0000/1674], Loss: 2.4428
| VALID SET | Epoch [01/100], Step [0100/1674], Loss: 2.6935
| VALID SET | Epoch [01/100], Step [0200/1674], Loss: 2.7657
