| TRAIN SET | Epoch [01/30], Step [0000/3466], Loss: 7.0016
| TRAIN SET | Epoch [01/30], Step [0100/3466], Loss: 4.7607
| TRAIN SET | Epoch [01/30], Step [0200/3466], Loss: 4.6054
| TRAIN SET | Epoch [01/30], Step [0300/3466], Loss: 4.2210
| TRAIN SET | Epoch [01/30], Step [0400/3466], Loss: 4.4298
| TRAIN SET | Epoch [01/30], Step [0500/3466], Loss: 4.1680
| TRAIN SET | Epoch [01/30], Step [0600/3466], Loss: 4.3072
| TRAIN SET | Epoch [01/30], Step [0700/3466], Loss: 4.2396
| TRAIN SET | Epoch [01/30], Step [0800/3466], Loss: 4.6828
| TRAIN SET | Epoch [01/30], Step [0900/3466], Loss: 3.9983
| TRAIN SET | Epoch [01/30], Step [1000/3466], Loss: 4.4962
| TRAIN SET | Epoch [01/30], Step [1100/3466], Loss: 3.7266
| TRAIN SET | Epoch [01/30], Step [1200/3466], Loss: 4.4428
| TRAIN SET | Epoch [01/30], Step [1300/3466], Loss: 4.3107
| TRAIN SET | Epoch [01/30], Step [1400/3466], Loss: 4.1762
| TRAIN SET | Epoch [01/30], Step [1500/3466], Loss: 4.5303
| TRAIN SET | Epoch [01/30], Step [1600/3466], Loss: 4.0263
| TRAIN SET | Epoch [01/30], Step [1700/3466], Loss: 4.3856
| TRAIN SET | Epoch [01/30], Step [1800/3466], Loss: 4.0439
| TRAIN SET | Epoch [01/30], Step [1900/3466], Loss: 4.0994
| TRAIN SET | Epoch [01/30], Step [2000/3466], Loss: 4.5850
| TRAIN SET | Epoch [01/30], Step [2100/3466], Loss: 3.9042
| TRAIN SET | Epoch [01/30], Step [2200/3466], Loss: 4.0294
| TRAIN SET | Epoch [01/30], Step [2300/3466], Loss: 4.1792
| TRAIN SET | Epoch [01/30], Step [2400/3466], Loss: 4.0970
| TRAIN SET | Epoch [01/30], Step [2500/3466], Loss: 4.7515
| TRAIN SET | Epoch [01/30], Step [2600/3466], Loss: 4.0142
| TRAIN SET | Epoch [01/30], Step [2700/3466], Loss: 4.2238
| TRAIN SET | Epoch [01/30], Step [2800/3466], Loss: 4.2587
| TRAIN SET | Epoch [01/30], Step [2900/3466], Loss: 3.3790
| TRAIN SET | Epoch [01/30], Step [3000/3466], Loss: 3.4170
| TRAIN SET | Epoch [01/30], Step [3100/3466], Loss: 3.1540
| TRAIN SET | Epoch [01/30], Step [3200/3466], Loss: 3.3077
| TRAIN SET | Epoch [01/30], Step [3300/3466], Loss: 3.0812
| TRAIN SET | Epoch [01/30], Step [3400/3466], Loss: 2.6684
| TRAIN SET | Epoch [01/30], Loss: 4.1043, Acc(Exp1): 0.2965, Acc(Exp2): 0.2900 

| VALID SET | Epoch [01/30], Step [0000/1674], Loss: 2.4532
| VALID SET | Epoch [01/30], Step [0100/1674], Loss: 2.9870
| VALID SET | Epoch [01/30], Step [0200/1674], Loss: 2.7768
| VALID SET | Epoch [01/30], Step [0300/1674], Loss: 3.0673
| VALID SET | Epoch [01/30], Step [0400/1674], Loss: 2.9586
| VALID SET | Epoch [01/30], Step [0500/1674], Loss: 2.9262
| VALID SET | Epoch [01/30], Step [0600/1674], Loss: 2.9965
| VALID SET | Epoch [01/30], Step [0700/1674], Loss: 3.1349
| VALID SET | Epoch [01/30], Step [0800/1674], Loss: 3.0470
| VALID SET | Epoch [01/30], Step [0900/1674], Loss: 2.6882
| VALID SET | Epoch [01/30], Step [1000/1674], Loss: 2.8374
| VALID SET | Epoch [01/30], Step [1100/1674], Loss: 2.9059
| VALID SET | Epoch [01/30], Step [1200/1674], Loss: 2.6947
| VALID SET | Epoch [01/30], Step [1300/1674], Loss: 2.9210
| VALID SET | Epoch [01/30], Step [1400/1674], Loss: 2.9111
| VALID SET | Epoch [01/30], Step [1500/1674], Loss: 2.5412
| VALID SET | Epoch [01/30], Step [1600/1674], Loss: 2.8508
| VALID SET | Epoch [01/30], Loss: 2.8677, Acc(Exp1): 0.4189, Acc(Exp2): 0.3777 

